,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,log_koi_period,log_koi_time0bk,log_koi_impact,log_koi_duration,log_koi_depth,log_koi_prad,log_koi_teq,log_koi_insol,log_koi_model_snr,log_koi_tce_plnt_num,log_koi_steff,log_koi_slogg,log_koi_srad,log_ra,log_dec,log_koi_kepmag
0,CONFIRMED,0,0,0,0,0.8816879729323164,0.13377642161326084,0.3962330979067395,0.1545785720191034,0.04689879499220313,-0.2846167712093891,-0.9823703944444587,-0.982204344632301,-0.28744215073211044,1.6657411957257782,-0.23958314859923288,0.28767298521557677,-0.3498613946592748,-0.022877504890394553,1.188097174582992,0.7691216813109627
1,FALSE POSITIVE,0,1,0,0,0.334555580096295,0.4138177497605724,0.7582709462857812,-1.0692869660802082,1.1087818840662664,0.724099265200449,-0.44983627045748314,-0.4486323489748176,0.3672033630896226,-0.4043304642032598,0.25492396593363625,0.3958759893325304,-0.4562153511762207,1.0303726862688254,1.186195291165352,0.8265002711980858
2,FALSE POSITIVE,0,1,0,0,-0.9916599375602749,0.30010067450152694,0.9564717291198023,-0.6731691320769645,0.9851475054910742,1.2339638226627005,0.6922785412781791,0.6909611122452359,1.5089391992158172,-0.4043304642032598,0.19709898686373217,0.4236807194444675,-0.6064486153207821,-1.378616486616482,1.2243381871900056,0.9294619482204127
3,CONFIRMED,0,0,0,0,-0.7880713219248902,0.3268524217647352,0.5251906654844343,-1.167363808158942,-0.10992838799525677,-0.3022464105003976,0.7037453324525996,0.7046943983430112,-0.009260835786355696,-0.4043304642032598,0.46529487477377945,0.24643697661112662,-0.15453679035289422,-0.6926567248604407,1.2094543601037417,0.873317184345224
4,CONFIRMED,0,0,0,0,-0.520018428868237,0.3553718375393361,0.5852511779454698,-0.32208236200023854,-0.05571002612476742,-0.2977913798306213,0.4229600150674639,0.4226456731816889,-0.019683417946911565,1.6657411957257782,0.4827381590966638,0.31454478039628236,-0.27319968905362524,0.8821868272944607,1.2090682129045047,1.003620380724209
5,CONFIRMED,0,0,0,0,-0.7793139634150564,0.48783276249462865,0.5786077995471474,-0.6608436677371584,-0.5234020387905834,-0.6390703440632933,0.6551823004989089,0.6547602894558394,-0.6148706047857762,2.8766554905898634,0.4827381590966638,0.31454478039628236,-0.27319968905362524,0.8821868272944607,1.2090682129045047,1.003620380724209
6,CONFIRMED,0,0,0,0,0.2182757372080694,0.3685371469454789,-1.3371018768124419,-0.16597410144020666,0.7753260064241236,0.15229145527725477,-0.5394881696576329,-0.5381787935773109,0.8214082904952014,-0.4043304642032598,-0.8077667590777307,0.3131333152537638,-0.49391540727562067,-1.0656258445082625,1.24714942055195,1.0834947566574034
7,CONFIRMED,0,0,0,0,-0.8000410090240703,-0.862209010242876,0.6363026996001521,-1.098481645577486,1.2240849557149756,0.6546278380151825,0.6324635067542772,0.6332245051845751,2.8019453101021368,-0.4043304642032598,0.2152204968297518,0.2734839903242547,-0.2865655434069711,-1.1063472004540829,1.4815346919471095,-2.235143330219391
8,CONFIRMED,0,1,0,0,-0.8619638080125881,-0.9030732713311683,-0.29496101635078315,-0.04008825077611049,0.9045484134609642,0.7842244906112722,1.252844333134189,1.2520284446317853,2.9970094151988342,-0.4043304642032598,0.9260536887918467,-0.3814253641834334,0.8544406767397502,0.042676407128188265,1.1445007606236914,-3.0320997923162403
9,CONFIRMED,0,0,0,0,-0.6071332892535992,-0.910076271197667,0.4494747904561738,-0.2978452533827045,1.0374784088393059,0.7236780308282426,0.818523378981975,0.8183981787058324,2.2556311561101423,-0.4043304642032598,0.687618234628411,-0.14943335405030123,0.3747591577753076,-2.2950978641421362,-0.3429983280091591,-0.4570986900383448
10,CONFIRMED,0,0,0,0,-0.5790434282841408,-0.5516797345571113,-1.3508318434385922,-0.5558670813737375,-0.7541747364965946,-0.8329227312281418,0.47973511603629476,0.480031490798226,0.11923021698395352,1.6657411957257782,0.23088806632461706,0.2020580649978551,-0.19207640624448716,0.7504568482714861,1.2772462347021727,-1.0533693092421672
11,FALSE POSITIVE,0,1,0,0,0.03735691566402376,0.3111774372893055,1.4360617243051705,-0.1272869835311303,1.3228708646342262,2.15841285049461,-0.20788760995471675,-0.20849016202306725,1.6341298482125188,-0.4043304642032598,0.18499194728743623,0.40979361830618466,-0.49391540727562067,1.0458388296184458,1.0497145379860222,0.8496156699784336
12,FALSE POSITIVE,0,1,0,0,0.31570944302136034,0.5853136514381454,0.8262948054306577,0.23723127556770285,1.9215180241846805,1.4721159452215027,-0.31861715014801284,-0.31957246609762513,2.4280178270794064,-0.4043304642032598,0.5647201420372299,0.32864215177547196,-0.31534014434327384,0.7847547868249883,1.0734597138509017,0.7652414977890458
13,FALSE POSITIVE,0,1,0,0,0.23168760621919793,0.5139853620270453,-0.10461738578580591,1.1295350171292429,1.0949155198313467,0.34962466270182824,-0.5517051739908215,-0.5519676084576104,1.2006076780714379,-0.4043304642032598,-0.6408784510802191,0.3581448489623824,-0.6167039392954773,1.061173445258379,1.0679332983343222,1.050239491772655
14,CONFIRMED,0,0,0,0,-0.08068172483593916,0.3610897527737987,0.09780725469514534,-0.2616123027863238,0.21026900207007201,-0.3682644237632673,-0.424879705507014,-0.42568596081036586,0.44782298163582523,-0.4043304642032598,-1.0563745404356113,0.449982585312506,-0.8133741890052033,-0.8234149960419647,1.082159198565636,0.7399832536377314
